Company,Symbol,Weight
Ceridian Hcm Holding Inc,CDAY,0.027977
Juniper Networks Inc,JNPR,0.027515
Pentair Plc,PNR,0.027054
Eastman Chemical Co,EMN,0.026203
Globe Life Inc,GL,0.026202
Universal Health Services B,UHS,0.026032
Rollins Inc,ROL,0.025774
Regency Centers Corp,REG,0.025471
Pinnacle West Capital,PNW,0.025198
Campbell Soup Co,CPB,0.025139
Keycorp,KEY,0.025063
Fox Corp Class A,FOXA,0.024419
Smith (a.O.) Corp,AOS,0.024393
F5 Inc,FFIV,0.024063
Bath & Body Works Inc,BBWI,0.024
Huntington Ingalls Industrie,HII,0.023567
Dentsply Sirona Inc,XRAY,0.023024
Generac Holdings Inc,GNRC,0.021859
Catalent Inc,CTLT,0.021728
Norwegian Cruise Line Holdin,NCLH,0.021696
Whirlpool Corp,WHR,0.021634
Paramount Global Class B,PARA,0.02146
Bio Rad Laboratories A,BIO,0.021424
Nrg Energy Inc,NRG,0.021387
Robert Half Intl Inc,RHI,0.021361
Hasbro Inc,HAS,0.02126
Boston Properties Inc,BXP,0.020651
Franklin Resources Inc,BEN,0.020527
Invesco Ltd,IVZ,0.020405
News Corp Class A,NWSA,0.020195
Westrock Co,WRK,0.019705
Assurant Inc,AIZ,0.018696
Federal Realty Invs Trust,FRT,0.018548
Vf Corp,VFC,0.01777
Dxc Technology Co,DXC,0.017045
Alaska Air Group Inc,ALK,0.016651
Sealed Air Corp,SEE,0.016012
Comerica Inc,CMA,0.015107
Davita Inc,DVA,0.014792
Organon & Co,OGN,0.014301
Mohawk Industries Inc,MHK,0.014058
Ralph Lauren Corp,RL,0.013791
Fox Corp Class B,FOX,0.011786
Zions Bancorp Na,ZION,0.011386
Advance Auto Parts Inc,AAP,0.011161
Lincoln National Corp,LNC,0.01019
Newell Brands Inc,NWL,0.008462
News Corp Class B,NWS,0.00642
