Date,Open,High,Low,Close,Adj Close,Volume
25/09/2018,117.040001,117.970001,116.32,116.389999,100.735527,9308300
26/09/2018,116.75,116.870003,114.660004,115.019997,99.549789,14023600
27/09/2018,115.419998,115.760002,114.160004,114.519997,99.117043,13283000
28/09/2018,113.650002,114.239998,112.519997,112.839996,97.66301,15815100
01/10/2018,113.370003,114.610001,113.040001,113.5,98.234238,10146300
02/10/2018,113.360001,114.120003,112.809998,113.970001,98.641029,13753100
03/10/2018,114.940002,115.660004,114.480003,115.040001,99.567108,17142000
04/10/2018,114.550003,116.809998,114.209999,115.269997,100.464813,16357400
05/10/2018,115.830002,116.099998,114.019997,114.620003,99.8983,13777600
08/10/2018,114.25,115.779999,113.349998,115.32,100.508385,14370900
09/10/2018,114.669998,115.029999,113.669998,114.519997,99.811119,14069500
10/10/2018,114.699997,114.949997,111.470001,111.470001,97.152885,23086400
11/10/2018,110.970001,111.470001,107.379997,108.129997,94.241867,33705600
12/10/2018,110.370003,110.830002,105.599998,106.949997,93.213425,32075700
15/10/2018,107.199997,108.849998,106.32,106.339996,92.681778,18903200
16/10/2018,107.160004,108.779999,106.730003,108.620003,94.668938,19302800
17/10/2018,108.379997,110.800003,108.230003,109.830002,95.723526,18794500
18/10/2018,109.019997,109.839996,107.809998,108.089996,94.207001,17582500
19/10/2018,107.650002,109.220001,107.269997,107.910004,94.050133,15234500
22/10/2018,108.150002,108.339996,106.110001,106.360001,92.699211,16199100
23/10/2018,104.199997,106.160004,103.699997,105.25,91.731773,21407500
24/10/2018,104.760002,105.029999,102.910004,103.290001,90.023521,23168900
25/10/2018,104.18,105.900002,103.720001,104.860001,91.391861,17464700
26/10/2018,104,104.559998,102.730003,103.419998,90.136818,19174900
29/10/2018,104.459999,106.629997,103.699997,104.849998,91.383156,18445200
30/10/2018,105.709999,106.980003,104.860001,106.699997,92.995544,18019700
31/10/2018,108.080002,110.480003,107.790001,109.019997,95.017548,20860000
01/11/2018,109.620003,110.220001,108.32,108.980003,94.982712,13065000
02/11/2018,109.900002,110.809998,107.489998,108.379997,94.459755,19009200
05/11/2018,108.610001,109.290001,108.419998,109.089996,95.078575,10276400
06/11/2018,108.669998,109.669998,107.760002,109.599998,95.523071,10825000
07/11/2018,110.370003,111.730003,109.349998,111.480003,97.161606,12679600
08/11/2018,111.010002,112.93,111,112.379997,97.946007,11662500
09/11/2018,112.230003,112.360001,110.830002,111.290001,96.995995,10432200
12/11/2018,111.419998,111.940002,108.599998,108.949997,94.956551,13279700
13/11/2018,109.099998,111.120003,109.099998,109.589996,95.514343,13746100
14/11/2018,110.230003,110.709999,105.980003,107.330002,93.544624,18361400
15/11/2018,108.239998,110.080002,106.809998,110.07,95.932686,19100000
16/11/2018,109.449997,110.760002,108.550003,109.989998,95.862968,13798600
