Bank Name,Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
Affinity Bank,28-Aug-09,"$1,000.00 ",$922.00 
Mainstreet Bank,28-Aug-09,$459.00 ,$434.00 
Bradford Bank,28-Aug-09,$452.00 ,$383.00 
Guaranty Bank,21-Aug-09,"$13,000.00 ","$12,000.00 "
CapitalSouth Bank,21-Aug-09,$617.00 ,$546.00 
First Coweta Bank,21-Aug-09,$167.00 ,$155.00 
ebank,21-Aug-09,$143.00 ,$130.00 
Community Bank of Nevada,14-Aug-09,"$1,520.00 ","$1,380.00 "
Community Bank of Arizona,14-Aug-09,$158.50 ,$143.80 
Union Bank,14-Aug-09,$124.00 ,$112.00 
Colonial Bank,14-Aug-09,"$25,000.00 ","$20,000.00 "
Dwelling House Savings and Loan Association,14-Aug-09,$13.40 ,$13.80 
Community First Bank,07-Aug-09,$209.00 ,$182.00 
Community National Bank of Sarasota County,07-Aug-09,$97.00 ,$93.00 
First State Bank,07-Aug-09,$463.00 ,$387.00 
Mutual Bank,31-Jul-09,"$1,600.00 ","$1,600.00 "
First BankAmericano,31-Jul-09,$166.00 ,$157.00 
Peoples Community Bank,31-Jul-09,$705.80 ,$598.20 
Integrity Bank,31-Jul-09,$119.00 ,$102.00 
First State Bank of Altus,31-Jul-09,$103.40 ,$98.20 
Security Bank of Bibb County,24-Jul-09,"$1,200.00 ","$1,000.00 "
Security Bank of Houston County,24-Jul-09,$383.00 ,$320.00 
Security Bank of Jones County,24-Jul-09,$453.00 ,$387.00 
Security Bank of Gwinnett County,24-Jul-09,$322.00 ,$292.00 
Security Bank of North Metro,24-Jul-09,$224.00 ,$212.00 
Security Bank of North Fulton,24-Jul-09,$209.00 ,$191.00 
Waterford Village Bank,24-Jul-09,$61.40 ,$58.00 
Temecula Valley Bank,17-Jul-09,"$1,500.00 ","$1,300.00 "
Vineyard Bank,17-Jul-09,"$1,900.00 ","$1,600.00 "
BankFirst,17-Jul-09,$275.00 ,$254.00 
First Piedmont Bank,17-Jul-09,$115.00 ,$109.00 
Bank of Wyoming,10-Jul-09,$70.00 ,$67.00 
Founders Bank,02-Jul-09,$962.50 ,$848.90 
Millennium State Bank of Texas,02-Jul-09,$118.00 ,$115.00 
The First National Bank of Danville,02-Jul-09,$166.00 ,$147.00 
The Elizabeth State Bank,02-Jul-09,$55.50 ,$50.40 
Rock River Bank,02-Jul-09,$77.00 ,$75.80 
The First State Bank of Winchester,02-Jul-09,$36.00 ,$34.00 
The John Warner Bank,02-Jul-09,$70.00 ,$64.00 
Mirae Bank,26-Jun-09,$456.00 ,$362.00 
MetroPacific Bank,26-Jun-09,$80.00 ,$73.00 
Horizon Bank,26-Jun-09,$87.60 ,$69.40 
Neighborhood Community Bank,26-Jun-09,$221.60 ,$191.30 
Community Bank of West Georgia,26-Jun-09,$199.40 ,$182.50 
Cooperative Bank,19-Jun-09,$970.00 ,$774.00 
Southern Community Bank,19-Jun-09,$377.00 ,$307.00 
First National Bank of Anthony,19-Jun-09,$156.90 ,$142.50 
Bank of Lincolnwood,05-Jun-09,$214.00 ,$202.00 
Citizens National Bank,22-May-09,$437.00 ,$400.00 
Strategic Capital Bank,22-May-09,$537.00 ,$471.00 
BankUnited,21-May-09,"$12,800.00 ","$8,600.00 "
Westsound Bank,08-May-09,$334.60 ,$304.50 
America West Bank,01-May-09,$299.40 ,$284.10 
Citizens Community Bank,01-May-09,$45.10 ,$43.70 
Silverton Bank,01-May-09,"$4,100.00 ","$3,300.00 "
First Bank of Idaho,24-Apr-09,$488.90 ,$374.00 
First Bank of Beverly Hills,24-Apr-09,"$1,500.00 ","$1,000.00 "
Michigan Heritage Bank,24-Apr-09,$184.60 ,$151.70 
American Southern Bank,24-Apr-09,$112.30 ,$104.30 
Great Basin Bank of Nevada,17-Apr-09,$270.90 ,$221.40 
American Sterling Bank,17-Apr-09,$181.00 ,$171.90 
New Frontier Bank,10-Apr-09,"$2,000.00 ","$1,500.00 "
Cape Fear Bank,10-Apr-09,$492.00 ,$403.00 
Omni National Bank,27-Mar-09,$956.00 ,$796.80 
TeamBank,20-Mar-09,$669.80 ,$492.80 
FirstCity Bank,20-Mar-09,$297.00 ,$278.00 
Colorado National Bank,20-Mar-09,$123.50 ,$82.70 
Freedom Bank of Georgia,06-Mar-09,$173.00 ,$161.00 
Security Savings Bank,27-Feb-09,$238.30 ,$175.20 
Heritage Community Bank,27-Feb-09,$232.90 ,$218.60 
Silver Falls Bank,20-Feb-09,$131.40 ,$116.30 
Pinnacle Bank,13-Feb-09,$73.00 ,$64.00 
Corn Belt Bank and Trust Company,13-Feb-09,$271.80 ,$234.40 
Riverside Bank of the Gulf Coast,13-Feb-09,$539.00 ,$424.00 
Sherman County Bank,13-Feb-09,$129.80 ,$85.10 
County Bank,06-Feb-09,"$1,700.00 ","$1,300.00 "
Alliance Bank,06-Feb-09,"$1,140.00 ",$951.00 
FirstBank Financial Services,06-Feb-09,$337.00 ,$279.00 
Ocala National Bank,30-Jan-09,$223.50 ,$205.20 
Suburban Federal Savings Bank,30-Jan-09,$360.00 ,$302.00 
MagnetBank,30-Jan-09,$292.90 ,$282.80 
1st Centennial Bank,23-Jan-09,$803.30 ,$676.90 
Bank of Clark County,16-Jan-09,$446.50 ,$366.50 
National Bank of Commerce,16-Jan-09,$430.90 ,$402.10 
Sanderson State Bank,12-Dec-08,$37.00 ,$27.90 
Haven Trust Bank,12-Dec-08,$572.00 ,$515.00 
First Georgia Community Bank,05-Dec-08,$237.50 ,$197.40 
PFF Bank and Trust,21-Nov-08,"$3,700.00 ","$2,400.00 "
Downey Savings and Loan Association,21-Nov-08,"$12,800.00 ","$9,700.00 "
Community Bank,21-Nov-08,$681.00 ,$611.40 
Security Pacific Bank,07-Nov-08,$561.10 ,$450.10 
Franklin Bank,07-Nov-08,"$5,100.00 ","$3,700.00 "
Freedom Bank,31-Oct-08,$287.00 ,$254.00 
Alpha Bank & Trust,24-Oct-08,$354.10 ,$346.20 
Meridian Bank,10-Oct-08,$39.20 ,$36.90 
Main Street Bank,10-Oct-08,$98.00 ,$86.00 
Washington Mutual Bank,25-Sep-08,"$307,000.00 ","$188,000.00 "
Ameribank,19-Sep-08,$115.00 ,$102.00 
Silver State Bank,05-Sep-08,"$2,000.00 ","$1,700.00 "
Integrity Bank,29-Aug-08,"$1,100.00 ",$974.00 
Columbian Bank and Trust,22-Aug-08,$752.00 ,$622.00 
First Priority Bank,01-Aug-08,$259.00 ,$227.00 
First National Bank of Nevada,25-Jul-08,"$3,400.00 ","$3,000.00 "
First Heritage Bank National Association,25-Jul-08,$254.00 ,$233.00 
IndyMac Bank,11-Jul-08,"$32,010.00 ","$19,060.00 "
First Integrity Bank,30-May-08,$54.70 ,$50.30 
ANB Financial,09-May-08,"$2,100.00 ","$1,800.00 "
Hume Bank,07-Mar-08,$18.70 ,$13.60 
Douglass National Bank,25-Jan-08,$58.50 ,$53.80 
Miami Valley Bank,04-Oct-07,$86.70 ,$76.00 
NetBank,28-Sep-07,"$2,500.00 ","$2,300.00 "
Metropolitan Savings,02-Feb-07,$15.80 ,$12.00 
Bank of Ephraim,25-Jun-04,$46.40 ,$45.20 
Reliance Bank,19-Mar-04,$30.30 ,$28.00 
Guaranty National Bank of Tallahassee,12-Mar-04,$74.10 ,$66.90 
Dollar Savings Bank of Newark,14-Feb-04,$12.30 ,$9.80 
Pulaski Savings Bank,14-Nov-03,$10.20 ,$9.20 
First National Bank of Blanchardville,09-May-03,$35.00 ,$29.00 
Southern Pacific Bank,07-Feb-03,"$1,000.00 ",$864.70 
Farmers Bank & Trust of Cheneyville,17-Dec-02,$37.00 ,$33.10 
Bank of Alamo,08-Nov-02,$69.40 ,$55.30 
AmTrade International Bank,30-Sep-02,$12.00 ,$10.20 
Universal Federal Savings Bank,27-Jun-02,$51.60 ,$40.00 
Connecticut Bank of Commerce,26-Jun-02,$398.60 ,$323.70 
New Century Bank,28-Mar-02,$19.00 ,$18.00 
Net 1st National Bank,01-Mar-02,$34.70 ,$23.90 
NextBank,07-Feb-02,$700.00 ,$554.00 
Oakwood Deposit Bank Company,01-Feb-02,$72.30 ,$60.20 
Bank of Sierra Blanca,18-Jan-02,$10.80 ,$9.80 
Hamilton Bank,11-Jan-02,"$1,300.00 ","$1,200.00 "
Sinclair National Bank,07-Sep-01,$30.70 ,$25.70 
Superior Bank,27-Jul-01,"$2,300.00 ","$1,600.00 "
The Malta National Bank,03-May-01,$9.50 ,$8.80 
First Alliance Bank & Trust Company,02-Feb-01,$18.40 ,$17.50 
