Bank Name,Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
1st Commerce Bank,06-Jun-13,$20.20 ,$19.60 
Banks of Wisconsin,31-May-13,$134.00 ,$127.60 
Central Arizona Bank,14-May-13,$31.60 ,$30.80 
Sunrise Bank,10-May-13,$60.80 ,$57.80 
Pisgah Community Bank,10-May-13,$21.90 ,$21.20 
Douglas County Bank,26-Apr-13,$316.50 ,$314.30 
Parkway Bank,26-Apr-13,$108.60 ,$103.70 
Chipola Community Bank,19-Apr-13,$39.20 ,$37.60 
Heritage Bank of North Florida,19-Apr-13,$110.90 ,$108.50 
First Federal Bank,19-Apr-13,$100.10 ,$93.90 
Gold Canyon Bank,05-Apr-13,$45.20 ,$44.20 
Frontier Bank,08-Mar-13,$258.80 ,$224.10 
Covenant Bank,15-Feb-13,$58.40 ,$54.20 
1st Regents Bank,18-Jan-13,$50.20 ,$49.10 
Westside Community Bank,11-Jan-13,$97.70 ,$96.50 
Community Bank of the Ozarks,14-Dec-12,$42.80 ,$41.90 
Hometown Community Bank,16-Nov-12,$124.60 ,$108.90 
Citizens First National Bank,02-Nov-12,$924.00 ,$869.40 
Heritage Bank of Florida,02-Nov-12,$225.50 ,$223.30 
NOVA Bank,26-Oct-12,$483.00 ,$432.20 
Excel Bank,19-Oct-12,$200.60 ,$187.40 
First East Side Savings Bank,19-Oct-12,$67.20 ,$65.90 
GulfSouth Private Bank,19-Oct-12,$159.10 ,$151.10 
First United Bank,28-Sep-12,$328.40 ,$316.90 
Truman Bank,14-Sep-12,$282.30 ,$245.70 
First Commercial Bank,07-Sep-12,$215.90 ,$206.80 
Waukegan Savings Bank,03-Aug-12,$88.90 ,$77.50 
Jasper Banking Company,27-Jul-12,$216.70 ,$213.10 
Second Federal Savings and Loan Association of Chicago,20-Jul-12,$199.10 ,$175.90 
Heartland Bank,20-Jul-12,$110.00 ,$102.60 
First Cherokee State Bank,20-Jul-12,$222.70 ,$193.30 
Georgia Trust Bank,20-Jul-12,$119.80 ,$117.40 
The Royal Palm Bank of Florida,20-Jul-12,$87.00 ,$85.10 
Glasgow Savings Bank,13-Jul-12,$24.80 ,$24.20 
Montgomery Bank & Trust,06-Jul-12,$173.60 ,$164.40 
The Farmers Bank of Lynchburg,15-Jun-12,$163.90 ,$156.40 
Security Exchange Bank,15-Jun-12,$151.00 ,$147.90 
Putnam State Bank,15-Jun-12,$169.50 ,$160.00 
Waccamaw Bank,08-Jun-12,$533.10 ,$472.70 
Farmers and Traders State Bank,08-Jun-12,$43.10 ,$42.30 
Carolina Federal Savings Bank,08-Jun-12,$54.40 ,$53.10 
First Capital Bank,08-Jun-12,$46.10 ,$44.80 
Alabama Trust Bank,18-May-12,$51.60 ,$45.10 
Security Bank,04-May-12,$101.00 ,$99.10 
Palm Desert National Bank,27-Apr-12,$125.80 ,$122.80 
Plantation Federal Bank,27-Apr-12,$486.40 ,$440.50 
Inter Savings Bank,27-Apr-12,$481.60 ,$473.00 
HarVest Bank of Maryland,27-Apr-12,$164.30 ,$145.50 
Bank of the Eastern Shore,27-Apr-12,$166.70 ,$154.50 
Fort Lee Federal Savings Bank,20-Apr-12,$51.90 ,$50.70 
Fidelity Bank,30-Mar-12,$818.20 ,$747.60 
Premier Bank,23-Mar-12,$268.70 ,$199.00 
Covenant Bank & Trust,23-Mar-12,$95.70 ,$90.60 
New City Bank,09-Mar-12,$71.20 ,$72.40 
Global Commerce Bank,02-Mar-12,$143.70 ,$116.80 
Home Savings of America,24-Feb-12,$434.10 ,$432.20 
Central Bank of Georgia,24-Feb-12,$278.90 ,$266.60 
SCB Bank,10-Feb-12,$182.60 ,$171.60 
Charter National Bank and Trust,10-Feb-12,$93.90 ,$89.50 
BankEast,27-Jan-12,$272.60 ,$268.80 
Patriot Bank Minnesota,27-Jan-12,$111.30 ,$108.30 
Tennessee Commerce Bank,27-Jan-12,"$1,185.00 ","$1,156.00 "
First Guaranty Bank and Trust Company of Jacksonville,27-Jan-12,$377.90 ,$349.50 
American Eagle Savings Bank,20-Jan-12,$19.60 ,$17.70 
The First State Bank,20-Jan-12,$536.90 ,$527.50 
Central Florida State Bank,20-Jan-12,$79.10 ,$77.70 
Western National Bank,16-Dec-11,$162.90 ,$144.50 
Premier Community Bank of the Emerald Coast,16-Dec-11,$126.00 ,$112.10 
Central Progressive Bank,18-Nov-11,$383.10 ,$347.70 
Polk County Bank,18-Nov-11,$91.60 ,$82.00 
Community Bank of Rockmart,10-Nov-11,$62.40 ,$55.90 
SunFirst Bank,04-Nov-11,$198.10 ,$169.10 
Mid City Bank,04-Nov-11,$106.10 ,$105.50 
All American Bank,28-Oct-11,$37.80 ,$33.40 
Community Banks of Colorado,21-Oct-11,"$1,380.00 ","$1,330.00 "
Community Capital Bank,21-Oct-11,$181.20 ,$166.20 
Decatur First Bank,21-Oct-11,$191.50 ,$179.20 
Old Harbor Bank,21-Oct-11,$215.90 ,$217.80 
Country Bank,14-Oct-11,$190.60 ,$167.50 
First State Bank,14-Oct-11,$204.40 ,$201.20 
Blue Ridge Savings Bank,14-Oct-11,$161.00 ,$158.70 
Piedmont Community Bank,14-Oct-11,$201.70 ,$181.40 
Sun Security Bank,07-Oct-11,$355.90 ,$290.40 
The RiverBank,07-Oct-11,$417.40 ,$379.30 
First International Bank,30-Sep-11,$239.90 ,$208.80 
Citizens Bank of Northern California,23-Sep-11,$288.80 ,$253.10 
Bank of the Commonwealth,23-Sep-11,$985.10 ,$901.80 
The First National Bank Of Florida,09-Sep-11,$296.80 ,$280.10 
CreekSide Bank,02-Sep-11,$102.30 ,$96.60 
Patriot Bank of Georgia,02-Sep-11,$150.80 ,$111.20 
